"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -1.48093832265E-001, +0.00000000000E+000
+1.00544726520E+007, -1.48414259285E-001, +0.00000000000E+000
+1.01089453039E+007, -1.48471097016E-001, +0.00000000000E+000
+1.01634179559E+007, -1.48457967387E-001, +0.00000000000E+000
+1.02178906078E+007, -1.48634034647E-001, +0.00000000000E+000
+1.02723632598E+007, -1.48665137640E-001, +0.00000000000E+000
+1.03268359117E+007, -1.48620974976E-001, +0.00000000000E+000
+1.03813085637E+007, -1.48830648549E-001, +0.00000000000E+000
+1.04357812156E+007, -1.48817402770E-001, +0.00000000000E+000
+1.04902538676E+007, -1.48938848628E-001, +0.00000000000E+000
+1.05447265195E+007, -1.49074061047E-001, +0.00000000000E+000
+1.05991991715E+007, -1.49262625980E-001, +0.00000000000E+000
+1.06536718234E+007, -1.49151259411E-001, +0.00000000000E+000
+1.07081444754E+007, -1.49352533357E-001, +0.00000000000E+000
+1.07626171274E+007, -1.49276833374E-001, +0.00000000000E+000
+1.08170897793E+007, -1.49322089334E-001, +0.00000000000E+000
+1.08715624313E+007, -1.49599038119E-001, +0.00000000000E+000
+1.09260350832E+007, -1.49644718887E-001, +0.00000000000E+000
+1.09805077352E+007, -1.49638734009E-001, +0.00000000000E+000
+1.10349803871E+007, -1.49614118606E-001, +0.00000000000E+000
+1.10894530391E+007, -1.49594556739E-001, +0.00000000000E+000
+1.11439256910E+007, -1.49779148059E-001, +0.00000000000E+000
+1.11983983430E+007, -1.49973488601E-001, +0.00000000000E+000
+1.12528709949E+007, -1.50025510656E-001, +0.00000000000E+000
+1.13073436469E+007, -1.49893206838E-001, +0.00000000000E+000
+1.13618162988E+007, -1.50095900344E-001, +0.00000000000E+000
+1.14162889508E+007, -1.50238191433E-001, +0.00000000000E+000
+1.14707616028E+007, -1.50328143978E-001, +0.00000000000E+000
+1.15252342547E+007, -1.50433203791E-001, +0.00000000000E+000
+1.15797069067E+007, -1.50579032481E-001, +0.00000000000E+000
+1.16341795586E+007, -1.50553687471E-001, +0.00000000000E+000
+1.16886522106E+007, -1.50584973254E-001, +0.00000000000E+000
+1.17431248625E+007, -1.50789421970E-001, +0.00000000000E+000
+1.17975975145E+007, -1.50907188132E-001, +0.00000000000E+000
+1.18520701664E+007, -1.50715087306E-001, +0.00000000000E+000
+1.19065428184E+007, -1.50912984572E-001, +0.00000000000E+000
+1.19610154703E+007, -1.51009720360E-001, +0.00000000000E+000
+1.20154881223E+007, -1.51168185175E-001, +0.00000000000E+000
+1.20699607742E+007, -1.51301271516E-001, +0.00000000000E+000
+1.21244334262E+007, -1.50993489456E-001, +0.00000000000E+000
+1.21789060782E+007, -1.51307462933E-001, +0.00000000000E+000
+1.22333787301E+007, -1.51453698857E-001, +0.00000000000E+000
+1.22878513821E+007, -1.51561524672E-001, +0.00000000000E+000
+1.23423240340E+007, -1.51549447302E-001, +0.00000000000E+000
+1.23967966860E+007, -1.51635413843E-001, +0.00000000000E+000
+1.24512693379E+007, -1.51849757631E-001, +0.00000000000E+000
+1.25057419899E+007, -1.51834832934E-001, +0.00000000000E+000
+1.25602146418E+007, -1.51665965656E-001, +0.00000000000E+000
+1.26146872938E+007, -1.52082387023E-001, +0.00000000000E+000
+1.26691599457E+007, -1.51869333595E-001, +0.00000000000E+000
+1.27236325977E+007, -1.52283149528E-001, +0.00000000000E+000
+1.27781052496E+007, -1.52123095618E-001, +0.00000000000E+000
+1.28325779016E+007, -1.52053538601E-001, +0.00000000000E+000
+1.28870505536E+007, -1.52358913921E-001, +0.00000000000E+000
+1.29415232055E+007, -1.52496399148E-001, +0.00000000000E+000
+1.29959958575E+007, -1.52422477158E-001, +0.00000000000E+000
+1.30504685094E+007, -1.52592742280E-001, +0.00000000000E+000
+1.31049411614E+007, -1.52958266478E-001, +0.00000000000E+000
+1.31594138133E+007, -1.52824851416E-001, +0.00000000000E+000
+1.32138864653E+007, -1.52960206122E-001, +0.00000000000E+000
+1.32683591172E+007, -1.52752575322E-001, +0.00000000000E+000
+1.33228317692E+007, -1.53076051141E-001, +0.00000000000E+000
+1.33773044211E+007, -1.52996903041E-001, +0.00000000000E+000
+1.34317770731E+007, -1.53223350272E-001, +0.00000000000E+000
+1.34862497250E+007, -1.53426556692E-001, +0.00000000000E+000
+1.35407223770E+007, -1.53521848002E-001, +0.00000000000E+000
+1.35951950289E+007, -1.53572358381E-001, +0.00000000000E+000
+1.36496676809E+007, -1.53575904982E-001, +0.00000000000E+000
+1.37041403329E+007, -1.53557698451E-001, +0.00000000000E+000
+1.37586129848E+007, -1.53671350187E-001, +0.00000000000E+000
+1.38130856368E+007, -1.53836216781E-001, +0.00000000000E+000
+1.38675582887E+007, -1.53975150025E-001, +0.00000000000E+000
+1.39315680295E+007, -1.54187802791E-001, +0.00000000000E+000
+1.40072730189E+007, -1.54331063057E-001, +0.00000000000E+000
+1.40829780083E+007, -1.54247145435E-001, +0.00000000000E+000
+1.41586829977E+007, -1.54282119518E-001, +0.00000000000E+000
+1.42343879871E+007, -1.54368017550E-001, +0.00000000000E+000
+1.43100929766E+007, -1.54775674291E-001, +0.00000000000E+000
+1.43857979660E+007, -1.54568819911E-001, +0.00000000000E+000
+1.44615029554E+007, -1.54855865393E-001, +0.00000000000E+000
+1.45372079448E+007, -1.55121048423E-001, +0.00000000000E+000
+1.46129129343E+007, -1.55169891327E-001, +0.00000000000E+000
+1.46886179237E+007, -1.55363203759E-001, +0.00000000000E+000
+1.47643229131E+007, -1.55488175939E-001, +0.00000000000E+000
+1.48400279025E+007, -1.55485825354E-001, +0.00000000000E+000
+1.49157328920E+007, -1.55728191796E-001, +0.00000000000E+000
+1.49914378814E+007, -1.55648173373E-001, +0.00000000000E+000
+1.50671428708E+007, -1.55654147599E-001, +0.00000000000E+000
+1.51428478602E+007, -1.55943487020E-001, +0.00000000000E+000
+1.52185528497E+007, -1.56032133912E-001, +0.00000000000E+000
+1.52942578391E+007, -1.56181353059E-001, +0.00000000000E+000
