"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -8.05534095848E-002, +0.00000000000E+000
+1.00544726520E+007, -8.08305097770E-002, +0.00000000000E+000
+1.01089453039E+007, -8.00701394577E-002, +0.00000000000E+000
+1.01634179559E+007, -8.10619074155E-002, +0.00000000000E+000
+1.02178906078E+007, -8.13308971631E-002, +0.00000000000E+000
+1.02723632598E+007, -8.13355740305E-002, +0.00000000000E+000
+1.03268359117E+007, -8.17213137161E-002, +0.00000000000E+000
+1.03813085637E+007, -8.17036681793E-002, +0.00000000000E+000
+1.04357812156E+007, -8.17499973012E-002, +0.00000000000E+000
+1.04902538676E+007, -8.15263690159E-002, +0.00000000000E+000
+1.05447265195E+007, -8.19725100287E-002, +0.00000000000E+000
+1.05991991715E+007, -8.20281509751E-002, +0.00000000000E+000
+1.06536718234E+007, -8.28763608103E-002, +0.00000000000E+000
+1.07081444754E+007, -8.34251513758E-002, +0.00000000000E+000
+1.07626171274E+007, -8.29005429490E-002, +0.00000000000E+000
+1.08170897793E+007, -8.33849082551E-002, +0.00000000000E+000
+1.08715624313E+007, -8.32252429333E-002, +0.00000000000E+000
+1.09260350832E+007, -8.38605125340E-002, +0.00000000000E+000
+1.09805077352E+007, -8.38374697352E-002, +0.00000000000E+000
+1.10349803871E+007, -8.40639998794E-002, +0.00000000000E+000
+1.10894530391E+007, -8.43776454938E-002, +0.00000000000E+000
+1.11439256910E+007, -8.42024239272E-002, +0.00000000000E+000
+1.11983983430E+007, -8.41710052923E-002, +0.00000000000E+000
+1.12528709949E+007, -8.53824833665E-002, +0.00000000000E+000
+1.13073436469E+007, -8.46999129321E-002, +0.00000000000E+000
+1.13618162988E+007, -8.55360308522E-002, +0.00000000000E+000
+1.14162889508E+007, -8.52234382095E-002, +0.00000000000E+000
+1.14707616028E+007, -8.56173661150E-002, +0.00000000000E+000
+1.15252342547E+007, -8.57187266763E-002, +0.00000000000E+000
+1.15797069067E+007, -8.60157422217E-002, +0.00000000000E+000
+1.16341795586E+007, -8.63487915578E-002, +0.00000000000E+000
+1.16886522106E+007, -8.64390810258E-002, +0.00000000000E+000
+1.17431248625E+007, -8.64194110887E-002, +0.00000000000E+000
+1.17975975145E+007, -8.65356793951E-002, +0.00000000000E+000
+1.18520701664E+007, -8.69473272877E-002, +0.00000000000E+000
+1.19065428184E+007, -8.77180058678E-002, +0.00000000000E+000
+1.19610154703E+007, -8.76222161964E-002, +0.00000000000E+000
+1.20154881223E+007, -8.73539710264E-002, +0.00000000000E+000
+1.20699607742E+007, -8.78237360986E-002, +0.00000000000E+000
+1.21244334262E+007, -8.84779118750E-002, +0.00000000000E+000
+1.21789060782E+007, -8.90406282541E-002, +0.00000000000E+000
+1.22333787301E+007, -8.78757257786E-002, +0.00000000000E+000
+1.22878513821E+007, -8.90216462868E-002, +0.00000000000E+000
+1.23423240340E+007, -8.92231719913E-002, +0.00000000000E+000
+1.23967966860E+007, -8.89100069549E-002, +0.00000000000E+000
+1.24512693379E+007, -8.90817202345E-002, +0.00000000000E+000
+1.25057419899E+007, -9.02580167872E-002, +0.00000000000E+000
+1.25602146418E+007, -9.01741294491E-002, +0.00000000000E+000
+1.26146872938E+007, -9.01195846770E-002, +0.00000000000E+000
+1.26691599457E+007, -9.05299257971E-002, +0.00000000000E+000
+1.27236325977E+007, -8.99290026638E-002, +0.00000000000E+000
+1.27781052496E+007, -9.03975312588E-002, +0.00000000000E+000
+1.28325779016E+007, -9.11398665002E-002, +0.00000000000E+000
+1.28870505536E+007, -9.01073652690E-002, +0.00000000000E+000
+1.29415232055E+007, -9.15845326002E-002, +0.00000000000E+000
+1.29959958575E+007, -9.14917290523E-002, +0.00000000000E+000
+1.30504685094E+007, -9.16881463626E-002, +0.00000000000E+000
+1.31049411614E+007, -9.09952397123E-002, +0.00000000000E+000
+1.31594138133E+007, -9.23073032802E-002, +0.00000000000E+000
+1.32138864653E+007, -9.19616495260E-002, +0.00000000000E+000
+1.32683591172E+007, -9.20513467862E-002, +0.00000000000E+000
+1.33228317692E+007, -9.23540288464E-002, +0.00000000000E+000
+1.33773044211E+007, -9.33891854449E-002, +0.00000000000E+000
+1.34317770731E+007, -9.32368742318E-002, +0.00000000000E+000
+1.34862497250E+007, -9.30257141819E-002, +0.00000000000E+000
+1.35407223770E+007, -9.30502398836E-002, +0.00000000000E+000
+1.35951950289E+007, -9.28108996422E-002, +0.00000000000E+000
+1.36496676809E+007, -9.33457608465E-002, +0.00000000000E+000
+1.37041403329E+007, -9.46210072978E-002, +0.00000000000E+000
+1.37586129848E+007, -9.48081996812E-002, +0.00000000000E+000
+1.38130856368E+007, -9.47363683910E-002, +0.00000000000E+000
+1.38675582887E+007, -9.38770743404E-002, +0.00000000000E+000
+1.39315680295E+007, -9.44629309590E-002, +0.00000000000E+000
+1.40072730189E+007, -9.45410556774E-002, +0.00000000000E+000
+1.40829780083E+007, -9.56333432948E-002, +0.00000000000E+000
+1.41586829977E+007, -9.60053538117E-002, +0.00000000000E+000
+1.42343879871E+007, -9.69740795254E-002, +0.00000000000E+000
+1.43100929766E+007, -9.54361833773E-002, +0.00000000000E+000
+1.43857979660E+007, -9.71321816785E-002, +0.00000000000E+000
+1.44615029554E+007, -9.70468413914E-002, +0.00000000000E+000
+1.45372079448E+007, -9.66977866206E-002, +0.00000000000E+000
+1.46129129343E+007, -9.73597182300E-002, +0.00000000000E+000
+1.46886179237E+007, -9.77126611894E-002, +0.00000000000E+000
+1.47643229131E+007, -9.72865281971E-002, +0.00000000000E+000
+1.48400279025E+007, -9.84614024090E-002, +0.00000000000E+000
+1.49157328920E+007, -9.89665675875E-002, +0.00000000000E+000
+1.49914378814E+007, -9.91937552450E-002, +0.00000000000E+000
+1.50671428708E+007, -9.95032242631E-002, +0.00000000000E+000
+1.51428478602E+007, -9.95083695997E-002, +0.00000000000E+000
+1.52185528497E+007, -9.98870142695E-002, +0.00000000000E+000
+1.52942578391E+007, -1.00120139250E-001, +0.00000000000E+000
+1.53699628285E+007, -1.01122397445E-001, +0.00000000000E+000
+1.54456678179E+007, -1.00885258084E-001, +0.00000000000E+000
+1.55213728073E+007, -1.01287930242E-001, +0.00000000000E+000
+1.55970777968E+007, -1.01537666341E-001, +0.00000000000E+000
+1.56727827862E+007, -1.02545507278E-001, +0.00000000000E+000
+1.57484877756E+007, -1.02372195115E-001, +0.00000000000E+000
+1.58241927650E+007, -1.01360117649E-001, +0.00000000000E+000
+1.58998977545E+007, -1.01235273177E-001, +0.00000000000E+000
+1.59756027439E+007, -1.02069034549E-001, +0.00000000000E+000
+1.60513077333E+007, -1.03467034483E-001, +0.00000000000E+000
+1.61270127227E+007, -1.03998844371E-001, +0.00000000000E+000
+1.62027177122E+007, -1.04141653941E-001, +0.00000000000E+000
+1.62784227016E+007, -1.03990405570E-001, +0.00000000000E+000
+1.63541276910E+007, -1.04984102389E-001, +0.00000000000E+000
+1.64298326804E+007, -1.05133901881E-001, +0.00000000000E+000
+1.65055376699E+007, -1.05789281331E-001, +0.00000000000E+000
+1.65812426593E+007, -1.06119510547E-001, +0.00000000000E+000
+1.66569476487E+007, -1.05100680390E-001, +0.00000000000E+000
+1.67326526381E+007, -1.06484311508E-001, +0.00000000000E+000
+1.68083576275E+007, -1.05943451897E-001, +0.00000000000E+000
+1.68840626170E+007, -1.06600364260E-001, +0.00000000000E+000
+1.69597676064E+007, -1.05862319821E-001, +0.00000000000E+000
+1.70354725958E+007, -1.07644519333E-001, +0.00000000000E+000
+1.71111775852E+007, -1.07444889124E-001, +0.00000000000E+000
+1.71868825747E+007, -1.07998843183E-001, +0.00000000000E+000
+1.72625875641E+007, -1.08519820686E-001, +0.00000000000E+000
+1.73382925535E+007, -1.08966113708E-001, +0.00000000000E+000
+1.74139975429E+007, -1.09455305982E-001, +0.00000000000E+000
+1.74897025324E+007, -1.09604909405E-001, +0.00000000000E+000
+1.75654075218E+007, -1.09088107095E-001, +0.00000000000E+000
+1.76411125112E+007, -1.09959243225E-001, +0.00000000000E+000
+1.77168175006E+007, -1.09887294843E-001, +0.00000000000E+000
+1.77925224901E+007, -1.10440579629E-001, +0.00000000000E+000
+1.78682274795E+007, -1.11584330038E-001, +0.00000000000E+000
+1.79439324689E+007, -1.11658922335E-001, +0.00000000000E+000
+1.80196374583E+007, -1.11007171325E-001, +0.00000000000E+000
+1.80953424477E+007, -1.12252641510E-001, +0.00000000000E+000
+1.81710474372E+007, -1.11766060023E-001, +0.00000000000E+000
+1.82467524266E+007, -1.11973052351E-001, +0.00000000000E+000
+1.83224574160E+007, -1.12911109837E-001, +0.00000000000E+000
+1.83981624054E+007, -1.13130682174E-001, +0.00000000000E+000
+1.84738673949E+007, -1.13434475381E-001, +0.00000000000E+000
