x-axis,2
second,Volt
-250.0000E-09,+1.4038944747299E+00
-249.5000E-09,+1.3636934701353E+00
-249.0000E-09,+1.3033919632435E+00
-248.5000E-09,+1.3033919632435E+00
-248.0000E-09,+1.2631909586489E+00
-247.5000E-09,+1.2229899540544E+00
-247.0000E-09,+1.2028894517571E+00
-246.5000E-09,+1.1827889494598E+00
-246.0000E-09,+1.1626884471625E+00
-245.5000E-09,+1.1224874425680E+00
-245.0000E-09,+1.0822864379734E+00
-244.5000E-09,+1.1023869402707E+00
-244.0000E-09,+1.0621859356761E+00
-243.5000E-09,+1.0219849310816E+00
-243.0000E-09,+1.0219849310815E+00
-242.5000E-09,+1.0018844287843E+00
-242.0000E-09,+981.7839264870E-03
-241.5000E-09,+961.6834241897E-03
-241.0000E-09,+921.4824195951E-03
-240.5000E-09,+901.3819172979E-03
-240.0000E-09,+881.2814150006E-03
-239.5000E-09,+881.2814150006E-03
-239.0000E-09,+861.1809127033E-03
-238.5000E-09,+841.0804104060E-03
-238.0000E-09,+820.9799081087E-03
-237.5000E-09,+800.8794058114E-03
-237.0000E-09,+780.7789035142E-03
-236.5000E-09,+780.7789035141E-03
-236.0000E-09,+740.5778989196E-03
-235.5000E-09,+720.4773966223E-03
-235.0000E-09,+720.4773966223E-03
-234.5000E-09,+720.4773966223E-03
-234.0000E-09,+700.3768943250E-03
-233.5000E-09,+680.2763920277E-03
-233.0000E-09,+660.1758897305E-03
-232.5000E-09,+660.1758897305E-03
-232.0000E-09,+640.0753874332E-03
-231.5000E-09,+599.8743828386E-03
-231.0000E-09,+579.7738805413E-03
-230.5000E-09,+559.6733782441E-03
-230.0000E-09,+559.6733782440E-03
-229.5000E-09,+539.5728759468E-03
-229.0000E-09,+559.6733782440E-03
-228.5000E-09,+559.6733782440E-03
-228.0000E-09,+579.7738805413E-03
-227.5000E-09,+579.7738805413E-03
-227.0000E-09,+599.8743828386E-03
-226.5000E-09,+619.9748851359E-03
-226.0000E-09,+640.0753874332E-03
-225.5000E-09,+640.0753874332E-03
-225.0000E-09,+660.1758897305E-03
-224.5000E-09,+640.0753874332E-03
-224.0000E-09,+640.0753874332E-03
-223.5000E-09,+640.0753874332E-03
-223.0000E-09,+660.1758897305E-03
-222.5000E-09,+660.1758897305E-03
-222.0000E-09,+660.1758897305E-03
-221.5000E-09,+640.0753874332E-03
-221.0000E-09,+680.2763920277E-03
-220.5000E-09,+680.2763920277E-03
-220.0000E-09,+680.2763920277E-03
-219.5000E-09,+680.2763920277E-03
-219.0000E-09,+680.2763920277E-03
-218.5000E-09,+720.4773966223E-03
-218.0000E-09,+700.3768943250E-03
-217.5000E-09,+700.3768943250E-03
-217.0000E-09,+700.3768943250E-03
-216.5000E-09,+720.4773966223E-03
-216.0000E-09,+700.3768943250E-03
-215.5000E-09,+700.3768943250E-03
-215.0000E-09,+700.3768943250E-03
-214.5000E-09,+720.4773966223E-03
-214.0000E-09,+720.4773966223E-03
-213.5000E-09,+720.4773966223E-03
-213.0000E-09,+740.5778989196E-03
-212.5000E-09,+720.4773966223E-03
-212.0000E-09,+740.5778989196E-03
-211.5000E-09,+700.3768943250E-03
-211.0000E-09,+740.5778989196E-03
-210.5000E-09,+740.5778989196E-03
-210.0000E-09,+760.6784012169E-03
-209.5000E-09,+820.9799081087E-03
-209.0000E-09,+881.2814150006E-03
-208.5000E-09,+921.4824195952E-03
-208.0000E-09,+981.7839264870E-03
-207.5000E-09,+1.0420854333789E+00
-207.0000E-09,+1.1224874425680E+00
-206.5000E-09,+1.1827889494598E+00
-206.0000E-09,+1.2229899540544E+00
-205.5000E-09,+1.2631909586490E+00
-205.0000E-09,+1.3033919632435E+00
-204.5000E-09,+1.3435929678381E+00
-204.0000E-09,+1.3837939724326E+00
-203.5000E-09,+1.3837939724327E+00
-203.0000E-09,+1.4239949770272E+00
-202.5000E-09,+1.4641959816218E+00
-202.0000E-09,+1.5043969862163E+00
-201.5000E-09,+1.5445979908109E+00
-201.0000E-09,+1.5646984931082E+00
-200.5000E-09,+1.5847989954055E+00
-200.0000E-09,+1.6048994977027E+00
-199.5000E-09,+1.6250000000000E+00
-199.0000E-09,+1.6652010045946E+00
-198.5000E-09,+1.7054020091892E+00
-198.0000E-09,+1.7255025114864E+00
-197.5000E-09,+1.7255025114865E+00
-197.0000E-09,+1.7657035160810E+00
-196.5000E-09,+1.7858040183783E+00
-196.0000E-09,+1.8059045206755E+00
-195.5000E-09,+1.8059045206756E+00
-195.0000E-09,+1.8461055252702E+00
-194.5000E-09,+1.8863065298647E+00
-194.0000E-09,+1.9064070321620E+00
-193.5000E-09,+1.9064070321620E+00
-193.0000E-09,+1.9265075344593E+00
-192.5000E-09,+1.9667085390538E+00
-192.0000E-09,+1.9466080367565E+00
-191.5000E-09,+1.9667085390538E+00
-191.0000E-09,+1.9868090413511E+00
